_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
2614,2614,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,03-06-2026 11:00,0.5
2615,2615,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,03-06-2026 12:00,1
2616,2616,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,03-06-2026 13:00,0.5
2617,2617,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,03-06-2026 14:00,4
2618,2618,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,03-06-2026 15:00,5.5
2619,2619,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,03-06-2026 16:00,2
2620,2620,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,03-06-2026 17:00,25
2621,2621,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,03-06-2026 18:00,17
2622,2622,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,03-06-2026 19:00,28
2623,2623,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,03-06-2026 20:00,25.5
2624,2624,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,03-06-2026 21:00,20
2625,2625,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,03-06-2026 22:00,22
2626,2626,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,03-06-2026 23:00,21
2627,2627,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 00:00,10.5
2628,2628,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 01:00,21
2629,2629,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 02:00,22
2630,2630,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 03:00,37.5
2631,2631,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 04:00,21
2632,2632,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 05:00,36.5
2633,2633,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 06:00,17
2634,2634,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 07:00,13
2635,2635,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 08:00,8.5
2636,2636,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 09:00,6.5
2637,2637,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 10:00,18
2638,2638,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 11:00,12
2639,2639,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 12:00,8.5
2640,2640,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 13:00,19
2641,2641,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 14:00,6
2642,2642,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 15:00,7.5
2643,2643,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 16:00,6.5
2644,2644,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 17:00,5.5
2645,2645,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 18:00,3.5
2646,2646,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 19:00,4.5
2647,2647,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 21:00,3.5
2648,2648,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 22:00,13
2649,2649,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,04-06-2026 23:00,10.5
2650,2650,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,05-06-2026 00:00,3
2651,2651,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,05-06-2026 01:00,15.5
2652,2652,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,05-06-2026 02:00,2
2653,2653,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,05-06-2026 03:00,32
2654,2654,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,05-06-2026 04:00,5
2655,2655,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,05-06-2026 05:00,7.5
2656,2656,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,05-06-2026 06:00,16
2657,2657,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,05-06-2026 07:00,3
2658,2658,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,05-06-2026 09:00,5
2659,2659,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,05-06-2026 10:00,5
2660,2660,Gyalshing  Bhanu Park,Sikkim,11,Sikkim,228,WEST DISTRICT,GYALSHING,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,27.29027778,88.24833333,05-06-2026 11:00,14
