SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
59,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,01-03-2014 10:00,7.8
60,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,01-03-2014 11:00,6.8
61,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,01-03-2014 12:00,3.6
62,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,01-03-2014 13:00,1.8
63,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,01-03-2014 14:00,3.6
64,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,01-03-2014 15:00,3.6
65,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,01-03-2014 16:00,3.4
66,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,01-03-2014 17:00,0.2
67,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,01-03-2014 18:00,1
68,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,01-03-2014 19:00,0.8
69,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,01-03-2014 21:00,0.4
70,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,01-03-2014 22:00,0.2
71,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,02-03-2014 00:00,1
72,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,02-03-2014 02:00,0.2
73,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,02-03-2014 04:00,0.6
74,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,02-03-2014 05:00,0.4
75,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,02-03-2014 06:00,8
76,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,02-03-2014 07:00,0.6
77,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,02-03-2014 08:00,0.4
78,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,03-03-2014 12:00,0.2
79,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,05-03-2014 14:00,0.4
80,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,05-03-2014 15:00,0.2
81,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,10-03-2014 13:00,1
82,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,11-03-2014 00:00,2.2
83,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,11-03-2014 01:00,5.2
84,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,11-03-2014 02:00,5
