SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
103,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,24-06-2021 14:00,3.5
104,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,26-06-2021 13:00,5.5
105,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,02-07-2021 00:00,6
106,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,02-07-2021 19:00,0.5
107,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,03-07-2021 21:00,4.5
108,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,06-07-2021 00:00,6.5
109,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,06-07-2021 01:00,1.5
110,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,06-07-2021 02:00,0.5
111,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,10-07-2021 05:00,0.5
112,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,21-07-2021 15:00,142.5
113,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,22-07-2021 06:00,262.5
114,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,26-07-2021 04:00,0.5
115,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,29-07-2021 07:00,14
116,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,29-07-2021 08:00,19.5
117,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,29-07-2021 11:00,1
118,Banbasa ,CWC,5,Uttarakhand,48,Champawat,CHAMPAWAT,-,-,Ganga,Ganga,Ghaghra,Sharda,-,Sarda,28.99583333,80.10555556,29-07-2021 12:00,0.5
